year,week,defense_team,offense_team,receivingReceptionsRB,receivingYardsRB,receivingTouchdownsRB,receivingTargetsRB,receivingYardsAfterCatchRB,receiving100To199YardGameRB,receiving200PlusYardGameRB,receivingReceptionsWR,receivingYardsWR,receivingTouchdownsWR,receivingTargetsWR,receivingYardsAfterCatchWR,receiving100To199YardGameWR,receiving200PlusYardGameWR,receivingReceptionsTE,receivingYardsTE,receivingTouchdownsTE,receivingTargetsTE,receivingYardsAfterCatchTE,receiving100To199YardGameTE,receiving200PlusYardGameTE,rushingAttemptsRB,rushingYardsRB,rushing40PlusYardTDRB,rushing50PlusYardTDRB,rushing100To199YardGameRB,rushing200PlusYardGameRB,rushingTouchdownsRB,rushingAttemptsWR,rushingYardsWR,rushing40PlusYardTDWR,rushing50PlusYardTDWR,rushing100To199YardGameWR,rushing200PlusYardGameWR,rushingTouchdownsWR,rushingAttemptsQB,rushingYardsQB,rushing40PlusYardTDQB,rushing50PlusYardTDQB,rushing100To199YardGameQB,rushing200PlusYardGameQB,rushingTouchdownsQB,rushingAttemptsTE,rushingYardsTE,rushing40PlusYardTDTE,rushing50PlusYardTDTE,rushing100To199YardGameTE,rushing200PlusYardGameTE,rushingTouchdownsTE,passingAttemptsQB,passingCompletionsQB,passingIncompletionsQB,passingYardsQB,passingTouchdownsQB,passingInterceptionsQB,passing40PlusYardTDQB,passing50PlusYardTDQB,passing300To399YardGameQB,passing400PlusYardGameQB,passing2PtConversionsQB,madeFieldGoalsFrom50PlusK,attemptedFieldGoalsFrom50PlusK,madeFieldGoalsFromUnder40K,attemptedFieldGoalsFromUnder40K,madeFieldGoalsK,attemptedFieldGoalsK,madeExtraPointsK,attemptedExtraPointsK
2019,1,ARI,DET,2.0,13.0,0.0,2.0,10.0,0.0,0.0,15.0,202.0,2.0,26.0,57.0,1.0,0.0,6.0,131.0,1.0,9.0,54.0,1.0,0.0,17.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,18.0,385.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0
2019,1,ATL,MIN,2.0,9.0,0.0,2.0,8.0,0.0,0.0,6.0,89.0,1.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,111.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,BAL,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,7.0,2.0,0.0,0.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BUF,NYJ,6.0,32.0,1.0,9.0,31.0,0.0,0.0,17.0,122.0,0.0,24.0,54.0,0.0,0.0,,,,,,,,17.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,CAR,LAR,1.0,4.0,0.0,1.0,1.0,0.0,0.0,17.0,155.0,0.0,29.0,88.0,0.0,0.0,5.0,27.0,1.0,6.0,17.0,0.0,0.0,14.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,16.0,186.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0
2019,1,CHI,GB,3.0,15.0,0.0,3.0,24.0,0.0,0.0,8.0,88.0,0.0,14.0,23.0,0.0,0.0,3.0,30.0,1.0,5.0,17.0,0.0,0.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,12.0,203.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,1,CIN,SEA,6.0,34.0,1.0,7.0,70.0,0.0,0.0,8.0,206.0,2.0,12.0,52.0,0.0,0.0,5.0,48.0,0.0,11.0,21.0,0.0,0.0,21.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,6.0,195.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,CLE,TEN,1.0,75.0,1.0,2.0,79.0,0.0,0.0,3.0,100.0,0.0,4.0,56.0,1.0,0.0,5.0,55.0,2.0,6.0,23.0,0.0,0.0,19.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,DAL,NYG,7.0,43.0,0.0,9.0,42.0,0.0,0.0,6.0,42.0,0.0,7.0,31.0,0.0,0.0,11.0,116.0,1.0,14.0,60.0,1.0,0.0,13.0,137.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,33.0,15.0,323.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
2019,1,DEN,LV,1.0,28.0,0.0,1.0,25.0,0.0,0.0,6.0,105.0,1.0,7.0,29.0,1.0,0.0,7.0,70.0,0.0,8.0,34.0,0.0,0.0,26.0,96.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,4.0,259.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,DET,ARI,8.0,70.0,1.0,11.0,20.0,0.0,0.0,12.0,145.0,1.0,25.0,28.0,1.0,0.0,,,,,,,,23.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.0,29.0,25.0,308.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,1.0
2019,1,GB,CHI,9.0,76.0,0.0,11.0,35.0,0.0,0.0,7.0,102.0,0.0,14.0,26.0,1.0,0.0,,,,,,,,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,26.0,19.0,228.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019,1,HOU,NO,9.0,76.0,0.0,11.0,78.0,0.0,0.0,17.0,224.0,0.0,20.0,41.0,2.0,0.0,2.0,37.0,0.0,3.0,16.0,0.0,0.0,19.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,11.0,370.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0
2019,1,IND,LAC,7.0,100.0,2.0,10.0,116.0,0.0,0.0,10.0,152.0,1.0,13.0,30.0,1.0,0.0,4.0,60.0,0.0,5.0,9.0,0.0,0.0,18.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,9.0,333.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,JAX,KC,7.0,51.0,0.0,7.0,65.0,0.0,0.0,12.0,214.0,3.0,16.0,134.0,1.0,0.0,3.0,88.0,0.0,8.0,42.0,0.0,0.0,23.0,107.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,8.0,378.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0
2019,1,KC,JAX,4.0,28.0,0.0,6.0,32.0,0.0,0.0,15.0,273.0,3.0,17.0,90.0,1.0,0.0,,,,,,,,13.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,27.0,6.0,350.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
